name,capacity,floor,ignore_to_allocate,accessibility,projector,air_conditioning,updated_at,created_by_id,building_id,id
CT-04,75,0,f,t,t,t,2024-07-31 22:04:12.455258,5,1,1
C1-04,85,1,f,f,t,t,2024-07-31 22:04:12.455258,5,1,3
C1-05,85,1,f,f,t,t,2024-07-31 22:04:12.455258,5,1,4
C1-09,85,1,f,f,t,t,2024-07-31 22:04:12.455258,5,1,5
C2-01,85,2,f,f,t,t,2024-08-01 00:44:31.462588,5,1,6
C2-03,85,2,f,f,t,t,2024-08-01 00:45:33.018674,5,1,7
C1-03,85,1,f,f,t,t,2024-08-01 00:46:04.176847,5,1,2
C2-02,85,2,f,f,t,t,2024-07-31 22:04:12.455258,5,1,8
C2-04,85,2,f,f,t,t,2024-07-31 22:04:12.455258,5,1,9
C2-05,85,2,f,f,t,t,2024-07-31 22:04:12.455258,5,1,10
C2-06,85,2,f,f,t,t,2024-07-31 22:04:12.455258,5,1,11
C2-07,85,2,f,f,t,t,2024-07-31 22:04:12.455258,5,1,12
C2-08,85,2,f,f,t,t,2024-07-31 22:04:12.455258,5,1,13
C2-09,85,2,f,f,t,t,2024-07-31 22:04:12.455258,5,1,14
C2-13,85,2,f,f,t,t,2024-07-31 22:04:12.455258,5,1,15
A1-01,95,1,f,t,f,t,2024-07-31 22:04:12.455258,5,1,16
A1-02,95,1,f,t,f,t,2024-07-31 22:04:12.455258,5,1,17
A1-03,95,1,f,t,f,t,2024-07-31 22:04:12.455258,5,1,18
A1-04,95,1,f,t,f,t,2024-07-31 22:04:12.455258,5,1,19
A1-05,95,1,f,t,f,t,2024-07-31 22:04:12.455258,5,1,20
B2-01,60,1,f,f,f,f,2024-07-31 22:04:12.455258,5,2,21
B2-03,58,1,f,t,f,t,2024-07-31 22:04:12.455258,5,2,22
B2-04,56,1,f,t,f,t,2024-07-31 22:04:12.455258,5,2,23
B2-05,66,1,f,t,f,t,2024-07-31 22:04:12.455258,5,2,24
B2-06,55,1,f,t,f,t,2024-07-31 22:04:12.455258,5,2,25
B2-09,60,1,f,t,f,t,2024-07-31 22:04:12.455258,5,2,26
B2-10,55,1,f,t,f,t,2024-07-31 22:04:12.455258,5,2,27
A1-10,50,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,28
C1-38,27,0,f,t,t,t,2024-07-31 22:04:12.455258,5,2,29
D1-01,100,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,30
D1-02,100,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,31
D1-03,100,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,32
D1-04,100,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,33
GD-07,55,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,34
LabSoft,50,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,36
Pró-Aluno,100,0,f,t,f,f,2024-07-31 22:04:12.455258,5,2,37
D1-01,100,0,f,f,f,f,2024-07-31 22:04:12.455258,5,3,40
D1-02,100,0,f,f,f,f,2024-07-31 22:04:12.455258,5,3,41
D1-03,100,0,f,f,f,f,2024-07-31 22:04:12.455258,5,3,42
Lab Ocean,100,0,f,f,f,f,2024-07-31 22:04:12.455258,5,3,43
ON,100,0,f,f,t,t,2024-07-31 22:04:12.455258,5,3,44
S01,80,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,45
S03,81,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,46
S04,130,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,47
S05,83,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,48
S06,120,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,49
S08,120,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,50
S09,60,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,51
S10,82,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,52
S11,60,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,53
S12,70,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,54
S13,60,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,55
S14,72,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,56
S15,50,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,57
S18,40,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,58
S19,50,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,59
S20,40,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,60
S21,50,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,61
S22,121,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,62
S26,121,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,63
S24,130,1,f,f,t,t,2024-07-31 22:04:12.455258,5,4,64
GD-06,55,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,65
A1-22,50,0,f,t,f,t,2024-07-31 22:04:12.455258,5,2,66
B2-12,56,1,f,t,f,t,2024-08-01 20:55:41.767458,5,2,35
A2-37,50,2,f,t,f,t,2024-07-31 22:04:12.455258,5,2,67
C1-30,100,0,f,t,t,f,2024-08-01 21:04:53.18968,5,2,38
C1-05,30,0,f,t,t,t,2024-08-01 21:04:57.5249,5,2,39
Remoto,1000,0,t,f,f,f,2024-07-31 22:04:12.455258,5,2,68
A1-06,95,1,f,t,f,t,2024-08-02 19:15:49.639566,5,1,69
Bloco 21 - Piso Superior Sala 17,0,0,f,f,f,f,2024-08-03 18:47:20.679385,5,7,70
Bloco 21 - Piso Superior Sala 1/3,0,0,f,f,f,f,2024-08-02 19:15:49.639566,5,7,71
C1-14,30,0,f,t,t,t,2024-08-02 19:15:49.639566,5,2,72
Auditório LARC,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,2,73
GD-04,55,0,f,t,f,t,2024-08-02 19:15:49.639566,5,2,74
B2-08,60,1,f,t,f,t,2024-08-02 19:15:49.639566,5,2,75
A-2,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,76
A-6,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,77
A-1A,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,78
A-8,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,79
A-7,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,80
A-9,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,81
A-10,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,82
A-3,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,83
A-10A,50,0,f,t,t,t,2024-08-02 19:15:49.639566,5,6,84
TS-9,50,1,f,f,t,t,2024-08-02 19:15:49.639566,5,6,85
PNV,50,0,f,f,t,t,2024-08-02 19:15:49.639566,5,6,86
Sala 01,50,0,f,f,t,t,2024-08-02 19:15:49.639566,5,8,87
Sala 02,50,0,f,f,t,t,2024-08-02 19:15:49.639566,5,8,88
Sala 03,50,0,f,f,t,t,2024-08-02 19:15:49.639566,5,8,89
Sala 04,50,0,f,f,t,t,2024-08-02 19:15:49.639566,5,8,90
Sala 05,50,0,f,f,t,t,2024-08-02 19:15:49.639566,5,8,91
Sala 06,50,0,f,f,t,t,2024-08-02 19:15:49.639566,5,8,92
Sala 07,50,0,f,f,t,t,2024-08-02 19:15:49.639566,5,8,93
